Property	Atomic Number	Symbol	Name	Atomic Weight	Oxidation States, Most Stable	Oxidation States	Density	Electron Configuration	Melting Point	Melting Point Pressure	Boiling Point	Electronegativity	Heat of Vaporization	Heat of Fusion	Electrical Conductivity	Thermal Conductivity	Specific Heat Capacity	First Ionization Potential	Atomic Volume	Atomic Radius	Covalent Radius	Crystal Structure 	Acid-Base Properties	Year when discovered	Color	Color RGB-number	Solubility in Cold water	Solubility in Hot Water	Magnetic Susceptibility	Atomic Electron Affinity	Ionic Radii in Crystals (Oxidation state)	Ionic Radii in Crystals (Oxidation state)	Ionic Radii in Crystals (Oxidation state)	Ionic Radii in Crystals (Oxidation state)	Ionic Radii in Crystals (Oxidation state)	Ionic Radii in Crystals (Oxidation state)	Ionic Radii in Crystals (Oxidation state)	Lattice parameter a	Lattice parameter b	Lattice parameter c	Content in the Earth's Crust	Content in the Sea	Content in the Air	Polarizability	Enthalpy of Formation at 298.15 K Gas	Enthalpy of Formation at 298.15 K Solid	Gibbs Energy of Formation  298.15 K Gas	Gibbs Energy of Formation  298.15 K Solid	Standard Entropy 298.15 K Gas	Standard Entropy 298.15 K Solid	Heat Capacity 298.15 K Gas	Heat Capacity 298.15 K Solid	Linear Expansion 298.15 K	Half-Life of the most stabile nuclide	Isotopes, Atomic number, Relative atomic weight, Half life						Recyclability (UNEP)
Si	14	Si	Silicon	28.0855	4	4	2.33	(Ne)3s2p2	1685	1	3540	1.9	384.22	50.55	2.52E-12	1.48	0.71	8.151	12.1	1.46	1.11	cubic, face centered	amphoteric	1824	steel gray	14935011	insoluble	insoluble	-3.9	1.385	(+4); 4; 0.26							a 0.54306, b 0.4686, c 0.6636, d 0.380	-	-, b 0.2585, d 0.628	282000	2.2		5.38	cry 0, gas 450.0		gas 405.5		cry 18.8, gas 168.0		cry 20.0, gas 22.3										0
P	15	P	Phosphorus	30.973762	-3	+/ - 3,5,4	1.82	(Ne)3s2p3	317.3	1	550	2.19	12.129	0.657	1E-16	0.00235	0.77	10.486	17	1.23	1.06	monoclinic	acidic	1669	black, reddish-brown, violet, yellow	4194304	-, very slightly soluble,-, 0.0003(15)	-, insoluble, -, slightly soluble	(red) -20.8, (black) -26.6	0.7465	(+5); 4; 0.17							0.33136	1.0478	0.43763	1050	0.06		3.63	white cry 0, red cry -17.6, black cry -39.3, gas 316.5		gas 280.1		white cry 41.1, red cry 22.8, gas 163.2		white cry 23.8, red cry 21.2, gas 20.8										0
S	16	S	Sulfur	32.066	-2	+/- 2,4,6	2.07	(Ne)3s2p4	388.36	1	717.75	2.58	-	1.7175	5E-24	0.00269	0.71	10.36	15.5	1.09	1.02	orthorhombic	acidic	-	yellow	65535	insoluble	insoluble	(s) -15.5 or -14.9, (l) -15.4, (g) 700.0(828), (g) 464.0(1023)	2.077104	(-2); 6; 1.84	(+4); 6; 0.37	(+6); 4; 0.37	(+6); 6; 0.29				a 1.0464	a 1.28660	a 2.44860	350	905		2.9	cry 0,0.3, gas 277.2		gas 236.7		cry 32.1, gas 167.8		cry 22.6, gas 23.7										0
Cl	17	Cl	Chlorine	35.4527	-1	+/- 1,3,5,7	3.17	(Ne)3s2p5	172.16	1	239.1	3.16	10.2	3.203	-	0.000089	0.48	12.967	22.7	0.97	0.99	orthorhombic	acidic	1774	greenish-yellow	8454016	310(10) cm3, 1.46(0) g	177(30) cm3, 0.57(30) g	-40.5	3.61269	(-1); 6; 1.81	(+5); 3pyramidal; 0.12	(+7); 4; 0.08					0.624	0.448	0.826	145	19400		2.18	121.3		105.3		165.2		21.8										0
Ar	18	Ar	Argon	39.948	-	-	1.784	(Ne)3s2p6	83.81	1	87.3	-	6.447	1.188	-	0.0001772	0.52	15.759	28.5	0.88	0.98	cubic, face centered		1894	colorness	16777215	5.6(0) cm3	3.01(50) cm3	-19.6	not stable								a 0.5316, (b) 0.3760	-	a -, (b) 0.6141	3.5	0.45	0.93	1.6411	0				154.8		20.8										0
K	19	K	Potassium	39.0983	1	1	0.86	(Ar)4s1	336.35	1	1032	0.82	79.87	2.334	0.139	1.024	0.75	4.341	45.46	2.77	2.03	cubic, body centered	basic	1807	silver	16777215	decomposes to KOH	decomposes 	20.8	0.50147	(+1); 8; 1.51	(+1); 12; 1.64						0.5321	-	-	20900	399		43.4	cry 0, gas 89.0		gas 60.5		cry 64.7, gas 160.3		cry 29.6, gas 20.8										0
Ca	20	Ca	Calcium	40.078	2	2	1.55	(Ar)4s2	1112	1	1757	1	153.6	8.54	0.298	2	0.63	6.113	29.9	2.23	1.74	cubic, face centered	basic	1808	silver white	16777215	decomposes to H2+ Ca(OH)2	decomposes 	40	0.0184	(+2); 6; 1.00	(+2); 8; 1.12						0.55884	0.448	-	41500	412		22.8	cry 0, gas 177.8		gas 144.0		cry 41.6, gas 154.9		cry 25.9, gas 20.8		22.3								0
Sc	21	Sc	Scandium	44.95591	3	3	3	(Ar)3d14s2	1812	1	3104	1.36	314.2	14.1	0.0177	0.158	0.6	6.54	15	2.09	1.44	hexagonal	basic	1878	gray	16777215	insoluble	-	315(292)	0.188	(+3); 6; 0.75							a 0.33088, b 0.4541	-	a 0.52680	22	0.0000006		17.8	cry 0, gas 377.8		gas 366.0		cry 34.6, gas 174.8		cry 25.5, gas 22.1		10.2								1
Ti	22	Ti	Titanium	47.867	4	4,3	4.5	(Ar)3d24s2	1943	1	3562	1.54	421	15.45	0.0234	0.219	0.52	6.82	10.64	2	1.32	hexagonal	amphoteric	1791	silver gray	16777215	insoluble	insoluble	153.0(293)	0.079	(+3); 6; 0.67	(+4); 6; 0.61						a 0.29506, b 0.33065, v 0.4625	-	a 0.46835, b -, v 0.2813	5650	0.001		14.6	cry 0, gas 473.0		gas 428.4		cry 30.7, gas 180.3		cry 24.4, gas 24.4		8.6								50
V	23	V	Vanadium	50.9415	5	5,4,3,2	5.8	(Ar)3d34s2	2175	1	3682	1.63	0.452	20.9	0.0489	0.307	0.49	6.74	8.78	1.92	1.22	cubic, body centered	amphoteric	1801	light gray	12632256	insoluble	insoluble	255.0(298)	0.525	(+2); 6; 0.79	(+3); 6; 0.64	(+4); 5; 0.53	(+4); 6; 0.58	(+5); 5; 0.46	(+5); 6; 0.54		0.3024	-	-	120	0.0025		12.4	cry 0, gas 514.2		gas 754.4		cry 28.9, gas 182.3		cry 24.9, gas 26.0		8.4								1
Cr	24	Cr	Chromium	51.9961	3	6,3,2	7.19	(Ar)3d54s1	2130	1	2945	1.66	344.3	16.9	0.0774	0.937	0.45	6.766	7.23	1.85	1.18	cubic, body centered	basic	1797	steel gray	16777215	insoluble	insoluble	180.0(273), 224.0(1713)	0.666	(+2); 6; 0.73	(+2); 6; 0.62	(+6); 4; 0.26					a 0.38848, a' 0.2882	-	a -, a' 0.2887	102	0.0003		11.6	cry 0, gas 396.6		gas 351.8		cry 23.8, gas 174.5		cry 23.4, gas 20.8		4.9								50
Mn	25	Mn	Manganese	54.938049	2	7,6,4,2,3	7.43	(Ar)3d54s2	1517	1	2335	1.55	226	12.05	0.00695	0.0782	0.48	7.435	1.39	1.79	1.17	cubic, body centered	basic	1774	gray-pink	12615935	decomposes 	decomposes 	529.0(293) or 483.0(293)	not stable	(+2); 6; 0.67	(+3); 6; 0.58	(+4); 4; 0.39	(+4); 6; 0.53	(+5); 4; 0.33	(+6); 4; 0.26	(+7); 4; 0.25	a 0.89126, b 0.63152, c 0.3860, d 0.3080	-	-	950	0.0002		9.4	cry 0, gas 280.7		gas 238.5		cry 32.0, gas 173.7		cry 26.3, gas 20.8		21.7								50
Fe	26	Fe	Iron	55.845	3	2,3	7.86	(Ar)3d64s2	1809	1	3135	1.83	349.6	13.8	0.0993	0.802	0.44	7.87	7.1	1.72	1.17	cubic, body centered	amphoteric	-	silver	16777215	insoluble	insoluble	ferro	0.151	(+2); 6; 0.61	(+3); 4; 0.49	(+3); 6; 0.55					a 0.28665, c 0.36467, d 0.29315, e 0.2468	-	a -, c -, d -, e 0.396	56300	0.002		8.4	cry 0, gas 416.3		gas 370.7		cry 27.3, gas 180.5		cry 25.1, gas 25.7										50
Co	27	Co	Cobalt	58.9332	2	2,3	8.9	(Ar)3d74s2	1768	1	3201	1.88	376.5	16.19	0.172	1	0.42	7.86	6.7	1.67	1.16	hexagonal	amphoteric	1735	silver gray	16777215	insoluble	insoluble	ferro	0.662	(+2); 6; 0.65	(+3); 6; 0.55						a 0.35447, e 0.25071	-	a -, e 0.40686	25	0.00002		7.5	cry 0, gas 424.7		gas 380.3		cry 30.0, gas 179.5		cry 24.8, gas 23.0		13								50
Ni	28	Ni	Nickel	58.6934	2	2,3	8.9	(Ar)3d84s2	1726	1	3187	1.91	370.4	17.47	0.143	0.907	0.44	7.635	6.59	1.62	1.15	cubic, face centered	basic	1751	silver	16777215	insoluble	insoluble	ferro	1.156	(+2); 4square; 0.44	(+2); 6; 0.69	(+3); 6; 0.56					0.3524	-	-	84	0.00056		6.8	cry 0, gas 429.7		gas 384.5		cry 29.9, gas 182.2		cry 26.1, gas 23.4		13.4								50
Cu	29	Cu	Copper	63.546	2	2,1	8.96	(Ar)3d104s1	1357.6	1	2836	1.9	300.3	13.05	0.596	4.01	0.38	7.726	7.1	1.57	1.17	cubic, face centered	basic	-	reddish	33023	insoluble	insoluble	(s) -5.46(296), (l) -6.16	1.235	(+1); 2; 0.46	(+1); 4; 0.60	(+2); 4square; 0.57	(+2); 6; 0.73				0.36146	-	-	60	0.00025		6.1	cry 0, gas 337.4		gas 297.7		cry 33.2, gas 166.4		cry 24.4, gas 20.8		16.5								50
Zn	30	Zn	Zinc	65.39	2	2	7.14	(Ar)3d104s2	692.73	1	1180	1.65	115.3	7.322	0.166	1.16	0.39	9.394	9.2	1.53	1.25	hexagonal	amphoteric	-	bluish-white	16777088	insoluble	insoluble	(s) -11.4, (l) -7.8	not stable	(+2); 4; 0.60	(+2); 6; 0.74						0.2665	-	0.4947	70	0.0049		7.1	cry 0, gas 130.4		gas 94.8		cry 41.6, gas 161.0		cry 25.4, gas 20.8		30.2								50
Ga	31	Ga	Gallium	69.723	3	3	5.91	(Ar)3d104s2p1	302.9	1	2478	1.81	258.7	5.59	0.0678	0.406	0.37	5.999	11.8	1.81	1.26	orthorhombic	amphoteric	1875	gray-black	8421504	insoluble	insoluble	(s) -24.4(80), (s) -21.6(290), (l) 2.5(313)	0.3	(+3); 4; 0.47	(+3); 6; 0.62						a 0.45186, b 0.2808, c 1.0593	a 0.76570, b -, c 1.3523	a 0.45258, b 0.4458, c 0.5203	19	0.00003		8.12	cry 0, liq 5.6, gas 277.0		gas 238.9		cry 40.9, gas 169.1		cry 25.9, gas 25.4										1
Ge	32	Ge	Germanium	72.61	4	4	5.32	(Ar)3d104s2p2	1210.4	1	3107	2.01	330.9	36.94	1.45E-08	0.599	0.32	7.899	13.6	1.52	1.22	cubic, face centered	amphoteric	1886	gray-white	12566463	insoluble	insoluble	-76.84(293)	1.233	(+4); 4; 0.39	(+4); 6; 0.53						a 0.56574, b 0.4884, c 0.593, d 0.692	-	a -, b 0.2692, c 0.698, d -	1.5	0.00005		6.07	cry 0, gas 372.0		gas 331.2		cry 31.1, gas 167.9		cry 23.3, gas 30.7										1
As	33	As	Arsenic	74.9216	-3	+/- 3,5	5.72	(Ar)3d104s2p3	1081	28	876	2.18	34.76	-	0.0345	0.5	0.33	9.81	13.1	1.33	1.2	rhombohedral	acidic	1649	gray	12632256	insoluble	insoluble	-5.5, -23.7, 23.0	0.81	(+3); 6; 0.58	(+5); 4; 0.34	(+5); 6; 0.46					a 0.41319, e 0.362	a -, e 1.085	a -, e 0.448	1.8	0.0037		4.31	cry gray 0, cry yellow 14.6, gas 302.5		gas 261.0		cry gray 35.1, gas 174.2		cry gray 24.6, gas 20.8										1
Se	34	Se	Selenium	78.96	-2	-2,4,6	4.8	(Ar)3d104s2p4	494	1	958	2.55	37.7	6.694	1E-12	0.0204	0.32	9.752	16.45	1.22	1.16	hexagonal	acidic	1817	blueish	16777088	insoluble	insoluble	(s) -25.0, (l) -24.0(900)	2.02067	(-2); 6; 1.98	(+4); 6; 0.50	(+6); 4; 0.50	(+6); 6; 0.42				c 0.43659	-	c 0.49537	0.05	0.0002		3.77	cry 0, gas 227.1		gas 187.0		cry 42.4, gas 176.7		cry 25.4, gas 20.8										1
Br	35	Br	Bromine	79.904	-1	+/- 1,5	3.12	(Ar)3d104s2p5	265.9	1	332.25	2.96	15.438	5.286	-	0.00122	0.473	11.814	23.5	1.12	1.14	orthorhombic	acidic	1826	dark red	128	4.17(0), 3.58(20)	3.52(50)	(l) -56.4, (g) -73.5	3.36359	(-1); 6; 1.96	(+5); 3pyramidal; 0.31	(+7); 4; 0.25					0.668	0.449	0.874	2.4	67.3		3.05	111.9		82.4		175		20.8										0
Kr	36	Kr	Krypton	83.8	-	-	3.74	(Ar)3d104s2p6	115.78	1	119.8	-	9.029	1.638	-	0.0000949	0.248	13.999	38.9	1.03	1.12	cubic, face centered		1898		16777215	11.0(0) , 6.0(25) cm3	4.67(50) cm3	-28.8	not stable								0.581	-	-	0.0001	0.00021	0.0001	2.4844	0				164.1		20.8										0
Rb	37	Rb	Rubidium	85.4678	1	1	1.53	(Kr)5s1	312.64	1	961	0.82	72.216	2.192	0.0779	0.582	0.363	4.177	55.9	2.98	2.16	cubic, body centered	basic	1861	silver white	16777215	decomposes 	decomposes 	17.0(303)	0.48592	(+1); 8; 1.61	(+1); 12; 1.72						0.5705	-	-	90	0.12		47.3	cry 0, gas 80.9		gas 53.1		cry 76.8, gas 170.1		cry 31.1, gas 20.8										0
Sr	38	Sr	Strontium	87.62	2	2	2.6	(Kr)5s2	1041	1	1650	0.95	144	8.3	0.0762	0.353	0.3	5.695	33.7	2.45	1.91	cubic, face centered	basic	1808	silver white to pale yellow	8454143	decomposes 	decomposes 	92	0.11	(+2); 8; 1.26	(+2); 12; 1.44						a 0.6084, b 0.487, b' 0.4437	-	-	370	7.9		27.6	cry 0, gas 164.4		gas 130.9		cry 52.3, gas 164.6		cry 26.4, gas 20.8		22.5								1
Y	39	Y	Yttrium	88.90585	3	3	4.5	(Kr)4d15s2	1799	1	3611	1.22	363	11.4	0.0166	0.172	0.3	6.38	19.8	2.27	1.62	hexagonal	basic	1794	gray	12632256	insoluble	insoluble	187.7(298)	0.307	(+3); 8; 1.02							a 0.36482, b (0.407)	-	a 0.57318, b -	33	0.000013		22.7	cry 0, gas 421.3		gas 381.1		cry 44.4, gas 179.5		cry 26.5, gas 25.9		10.6								1
Zr	40	Zr	Zirconium	91.224	4	4	6.49	(Kr)4d25s2	2125	1	4682	1.33	58.2	16.9	0.0236	0.227	0.27	6.84	14.1	2.16	1.45	hexagonal	amphoteric	1789	silver gray	16777215	insoluble	insoluble	-122.0(293), 119.0(90)	0.426	(+4); 8; 0.84							a 0.32316, b 0.36090, v 0.5036	-	a 0.51475, b -, v 0.3109	165	0.00003		17.9	cry 0, gas 608.8		gas 566.5		cry 39.0, gas 181.4		cry 25.4, gas 26.7		5.7								1
Nb	41	Nb	Niobium	92.90638	5	5,3	8.55	(Kr)4d45s1	2740	1	5017	1.6	682	26.4	0.0693	0.537	0.26	6.88	10.87	2.08	1.34	cubic, body centered	acidic	1801	steel gray	16777215	insoluble	insoluble	195.0(298)	0.893	(+3); 6; 0.72	(+4); 6; 0.68	(+5); 6; 0.64					0.33004	-	-	20	0.00001		15.7	cry 0, gas 725.9		gas 681.1		cry 36.4, gas 186.3		cry 24.6, gas 30.2		7.3								50
Mo	42	Mo	Molybdenum	95.94	6	6,5,4,3,2	10.2	(Kr)4d55s1	2890	1	4912	2.16	598	32	0.187	1.38	0.25	7.099	9.4	2.01	1.3	cubic, body centered	acidic	1778	silver-white or gray-black	8421504	insoluble	insoluble	89.0(298), 108.0(63.8), 149.2(20.4)	0.746	(+3); 6; 0.69	(+4); 6; 0.65	(+5); 6; 0.61	(+6); 6; 0.59	(+6); 7; 0.73			0.3147	-	-	1.2	0.01		12.8	cry 0, gas 658.1		gas 612.5		cry 28.7, gas 182.0		cry 24.1, gas 20.8		4.8								37
Tc	43	Tc	Technetium	98	7	7	11.5	(Kr)4d55s2	2473	1	4538	1.9	660	24	0.067	0.506	0.21	7.28	8.5	1.95	1.27	hexagonal	acidic	1925		16777215			250.0(402), 270.0(298), 290.0(78)	0.55								0.2738	-	0.4393	0	0		11.4	cry 0, gas 678.0				gas 181.1		gas 20.8			4200000 a	97, 96.9064,2.6E6 a	98,97.9072, 4.2E6 a	99, 98.9063, 2.1E5 a				0
Ru	44	Ru	Ruthenium	101.07	4	2,3,4,6,8	12.2	(Kr)4d75s1	2523	1	4423	2.2	595	24	0.137	1.17	0.238	7.37	8.3	1.89	1.25	hexagonal	acidic	1844	gray-white or silver 	16777215	insoluble	insoluble	43.2(298), 50.2(723)	1.05	(+3); 6; 0.68	(+4); 6; 0.62	(+5); 6; 0.57	(+7); 4; 0.38	(+8); 4; 0.36			0.27058	-	0.42816	0.001	0.0000007		9.6	cry 0, gas 642.7		gas 595.8		cry 28.5, gas 186.5		cry 24.1, gas 21.5		6.4								17
Rh	45	Rh	Rhodium	102.9055	3	2,3,4	12.4	(Kr)4d85s1	2236	1	3970	2.28	493	21.5	0.211	1.5	0.242	7.46	8.3	1.83	1.25	cubic, face centered	amphoteric	1803	gray-white	16777215	insoluble	insoluble	111.0(298), 123.0(723)	1.137	(+3); 6; 0.67	(+4); 6; 0.60	(+5); 6; 0.55					0.38032	-	-	0.001	0		8.6	cry 0, gas 556.9		gas 510.8		cry 31.5, gas 185.8		cry 25.0, gas 21.0		8.2								50
Pd	46	Pd	Palladium	106.42	2	2,4	12	(Kr)4d10	1825	1	3237	2.2	357	17.6	0.095	0.718	0.24	8.34	8.9	1.79	1.28	cubic, face centered	basic	1803	silver-white 	16777215	insoluble	insoluble	567.4(288)	0.557	(+2); 4square; 0.64	(+3); 6;0.76	(+4); 6;0.62					0.38903	-	-	0.015	0		4.8	cry 0, gas 378.2		gas 339.7		cry 37.6, gas 167.1		cry 26.0, gas 20.8		11.8								50
Ag	47	Ag	Silver	107.8682	1	1	10.5	(Kr)4d105s1	1234	1	2436	1.93	250.58	11.3	0.63	4.29	0.235	7.576	10.3	1.75	1.34	cubic, face centered	amphoteric	-	white	16777215	insoluble	insoluble	(s) -19.5(296), (l) -24.0	1.302	(+1); 4; 1.00	(+1); 6; 1.15	(+2); 4square; 0.79	(+2); 6; 0.94				0.40857	-	-	0.075	0.00004		7.2	cry 0, gas 284.9		gas 246.0		cry 42.6, gas 173.0		cry 25.4, gas 20.8		18.9								50
Cd	48	Cd	Cadmium	112.411	2	2	8.65	(Kr)4d105s2	594.18	1	1040	1.69	99.57	6.192	0.138	0.968	0.23	8.993	13.1	1.71	1.48	hexagonal	basic	1817	silver-white 	16777215	insoluble	insoluble	(s) -19.8, (l) -18.0	not stable	(+2); 4; 0.78	(+2); 6; 0.95	(+2); 8; 1.10					0.29793	-	0.56196	0.15	0.00011		7.2	cry 0, gas 111.8				cry 51.8, gas 167.7		cry 26.0, gas 20.8		30.8								17
